fen,best_move,best_move_san,best_move_eval,next_best,next_best_eval,moving_piece,is_capture,is_check,capture_range
3k4/2rb3R/p3p3/3pP3/1p1K4/1P1B4/P1P5/8 b - -,c7c6,Rc6,91,c7c3,276,rook,False,False,
r1bqk1nr/pppp1ppp/2n5/1B2N3/4P3/8/PPPP1bPP/RNBQK2R w KQkq -,e1f2,Kxf2,63,e1f1,-118,king,True,False,
3k4/2rb3R/p3p1B1/3pP3/1p1K4/1P6/P1P5/8 w - -,h7h8,Rh8+,415,g6d3,69,rook,False,True,
r1bqk1nr/pppp1ppp/2n5/1B2N3/4P3/8/PPPP1KPP/RNBQ3R b kq -,c6e5,Nxe5,71,g8f6,382,knight,True,False,
r1bqkb1r/1ppp1ppp/p1n5/4p3/n7/2N2N2/PPPP1PPP/R1BQR1K1 w kq -,f3e5,Nxe5,0,c3a4,-127,knight,True,False,
3r4/p6R/4p1P1/2p1p3/Pp2K1k1/1PbPP3/7P/8 w - -,h7a7,Rxa7,553,g6g7,215,rook,True,False,7
3k3R/2rb4/p3p1B1/3pP3/1p1K4/1P6/P1P5/8 b - -,d8e7,Ke7,307,d7e8,839,king,False,False,
r1bq1rk1/ppp2ppp/2np1n2/2b3B1/2B1N3/3Q1N2/PPP2PPP/2KR3R b - -,f6e4,Nxe4,28,c8e6,166,knight,True,False,
4r1k1/p1p2ppp/Q1p3r1/8/1P6/2P4b/R2P1b1P/2BR3K w - -,a6f1,Qf1,-439,a6c6,-742,queen,False,False,
r1b2rk1/3n1ppp/p7/QP4q1/2pPp3/2P1P3/2B2PPP/R3R1K1 w - -,c2e4,Bxe4,325,a5c7,-171,bishop,True,False,2
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P1P2/2N1BN2/PPPQ2PP/2KR1B1R b - -,c5c4,c4,-107,d8a5,29,pawn,False,False,
r1bqk1nr/pppp1ppp/2n5/2b5/2B1P3/2P2N2/P4PPP/RNBQK2R w KQkq -,c4f7,Bxf7+,50,e1h1,-68,bishop,True,True,3
3Rb3/2p1P3/2k2K2/2p5/p7/prP5/1P6/2B5 w - -,b2a3,bxa3,1156,d8e8,495,pawn,True,False,
5k2/bppr3b/p2pq3/P4PQ1/2P3P1/2B5/1P5P/7K w - -,g5f6,Qf6+,-726,c3g7,-1124,queen,False,True,
r1bq1rk1/pp1nbppp/2n1p3/3pPP2/2pP4/2N1BN2/PPPQ2PP/2KR1B1R b - -,b7b5,b5,-120,a8b8,0,pawn,False,False,
rnb1kb1r/ppp1pppp/2q2n2/8/8/2N3P1/PPPPNP1P/R1BQKB1R w KQkq -,h1g1,Rg1,0,f2f3,-118,rook,False,False,
r3k1r1/pp3p2/2b1p3/2q1Pn2/5PP1/P1pQB3/2P2K1P/1R3BR1 b q -,c5e7,Qe7,3,f5e3,123,queen,False,False,
r1bqk1nr/ppp2ppp/2n5/4P3/1bPp4/4PN2/PP1N1PPP/R1BQKB1R b KQkq -,d4e3,dxe3,-13,b4c5,90,pawn,True,False,
r1bqk1nr/ppp2ppp/2n5/4P3/1bP5/4pN2/PP1N1PPP/R1BQKB1R w KQkq -,f2e3,fxe3,-14,h2h3,-349,pawn,True,False,
r1bqkb1r/pppp1ppp/2n5/4n3/2Bp4/5N2/PPP2PPP/RNBQ1RK1 w kq -,f3e5,Nxe5,210,f1e1,-82,knight,True,False,
r1bqkb1r/pppp1ppp/2n5/4N3/2Bp4/8/PPP2PPP/RNBQ1RK1 b kq -,c6e5,Nxe5,238,d7d5,498,knight,True,False,
r2qkbnr/1bpp2pp/p7/np2PN2/8/1B6/PPP2PPP/RNBQK2R b KQkq -,a5b3,Nxb3,10,g7g6,111,knight,True,False,
r1bqkb1r/pp1p1ppp/2n1pn2/8/2PpP3/2N5/PP2NPPP/R1BQKB1R w KQkq -,e2d4,Nxd4,14,e4e5,-263,knight,True,False,
r1bqkb1r/pppp1ppp/8/4n3/2Bp4/8/PPP2PPP/RNBQ1RK1 w kq -,f1e1,Re1,215,d1d4,-13,rook,False,False,
r1bq1rk1/pppp1pp1/2n2n1B/2b5/2B5/2NQ1N2/PPP2PPP/2KR3R b - -,d7d5,d5,22,f6h7,172,pawn,False,False,
r1bq1rk1/pppp1p2/2n2n1p/2b5/2B5/2NQ1N2/PPP2PPP/2KR3R w - -,d3g6,Qg6+,299,d3d2,-144,queen,False,True,
r1bqkb1r/ppp2ppp/3p4/4n3/2Bp4/8/PPP2PPP/RNBQR1K1 w kq -,f2f4,f4,312,d1d4,-81,pawn,False,False,
r1bq2nr/pppp1kpp/2n5/2b5/4P3/2P2N2/P4PPP/RNBQK2R w KQ -,d1d5,Qd5+,65,e1h1,-283,queen,False,True,
3r4/R5P1/4p2k/P1p1p3/1p2K3/1PbPP3/7P/8 b - -,h6h7,Kh7,629,h6g6,736,king,False,False,
4r1k1/p1p2ppp/1bp3r1/8/1P6/2PQ1P1b/R2P1P1P/2B2R1K b - -,f7f5,f5,-465,f7f6,-64,pawn,False,False,
3r4/R5Pk/4p3/P1p1p3/1p2K3/1PbPP3/7P/8 w - -,a5a6,a6,646,h2h4,475,pawn,False,False,
4r1k1/p1p3pp/1bp3r1/5p2/1P6/2PQ1P1b/R2P1P1P/2B2R1K w - -,f1d1,Rd1,-383,d3c4,-550,rook,False,False,
1n3r1k/rb2qNbp/4P1p1/2p2n2/1pB2B2/p6P/PP1QN1P1/2KR2R1 b - -,f8f7,Rxf7,-407,h8g8,42,rook,True,False,1
8/R5Pk/P2rp3/2p1p3/1p2K3/1PbPP3/7P/8 w - -,h2h4,h4,672,h2h3,32,pawn,False,False,
r2qkbnr/1bpp2pp/p7/1p2PN2/8/1P6/1PP2PPP/RNBQK2R b KQkq -,d7d6,d6,18,g7g6,122,pawn,False,False,
r4rk1/pp2bppp/2p5/3Nqb2/1P2p3/P5P1/1B1PPPBP/R2Q1RK1 b - -,e5d5,Qxd5,14,e5d6,448,queen,True,False,1
1rbq1rk1/p5pp/3Ppn2/3p4/1npP4/4BN2/PPPQ2PP/1K1R1B1R w - -,d2c3,Qc3,-185,d2e1,-357,queen,False,False,
rnbqk1nr/pppp1ppp/3b4/4P3/4P3/8/PPPP2PP/RNBQKBNR b KQkq -,d8h4,Qh4+,-59,d6e5,71,queen,False,True,
r1bq1b1r/ppppk1pp/1nn5/4P1N1/3p4/2P2Q2/PP3PPP/RNB1K2R b KQ -,d8e8,Qe8,-291,c6e5,7,queen,False,False,
r1bqk2r/pp1p1ppp/2N1pn2/2b5/2P1P3/2N5/PP3PPP/R1BQKB1R b KQkq -,d7c6,dxc6,0,b7c6,103,pawn,True,False,
r1b2r2/pp1pq1kp/2B1pnp1/6N1/7Q/2P5/PP1N1PPP/R3R1K1 b - -,b7c6,bxc6,161,d7c6,307,pawn,True,False,
6k1/pR3rP1/2p2q1p/P2np3/2Q4N/6r1/5P1R/5K2 w - -,b7f7,Rxf7,-89,b7b8,-438,rook,True,False,4
r1bq1r2/3nkp2/p2pN1pQ/1ppPp3/4P3/P1N5/1PP1B1P1/2K4R b - -,f7e6,fxe6,144,f8h8,351,pawn,True,False,
8/8/8/2n2K2/8/4R3/5k2/8 w - -,e3c3,Rc3,20000,f5f4,21,rook,False,False,
r1bqnrk1/pp1nppbp/3p2p1/4P3/3p1P2/2NBBN2/PPP1Q1PP/R3K2R w KQ -,e3d4,Bxd4,50,f3d4,-105,bishop,True,False,1
rnb1k1nr/pppp1ppp/3b4/4P3/4P2q/8/PPPP2PP/RNBQKBNR w KQkq -,g2g3,g3,-68,e1e2,-608,pawn,False,False,
r1bq1r1k/ppppbp1n/2n4Q/8/2B1N3/5N2/PPP2PPP/2KR3R w - -,h2h4,h4,345,d1d5,218,pawn,False,False,
1rbq1rk1/p5pp/3Ppn2/3p4/1npP4/2P1BN2/PP1Q2PP/1K1R1B1R b - -,b4a2,Nxa2,-542,f6e4,-348,knight,True,False,
rnb1k1nr/pppp1ppp/3b4/4P3/4P2q/6P1/PPPP3P/RNBQKBNR b KQkq -,h4e4,Qxe4+,-67,h4e7,497,queen,True,True,3
rn4k1/p4rp1/1p1b3p/q2p4/8/1R5B/P4PPP/3Q1RK1 w - -,h3e6,Be6,91,b3d3,-106,bishop,False,False,
1rbq1rk1/p5pp/3Pp3/3p4/1npPn3/2P1BN2/PP1Q2PP/1K1R1B1R w - -,c3b4,cxb4,-364,a2a3,-512,pawn,True,False,
r2r2k1/1p3ppp/2b1p3/p1N1P3/Pq1Pp3/8/1P2QPPP/R2R2K1 w - -,e2e3,Qe3,-52,c5e4,-173,queen,False,False,
3r4/4qpkr/7p/p3Pp2/1p1bNQ1P/8/PP3P1K/2RR4 w - -,d1d4,Rxd4,600,f4f5,17,rook,True,False,3
r1bqkbnr/ppp2ppp/3p2n1/4P3/2BP4/2N5/PPP2PPP/R1BQK2R w KQkq -,d1f3,Qf3,-93,h2h4,-207,queen,False,False,
r1bqk2r/pppp1ppp/2nb1n2/8/2B1P3/2P2N2/P4PPP/RNBQ1RK1 w kq -,e4e5,e5,234,f1e1,134,pawn,False,False,
r1b2r2/p2pq1kN/2p1pnp1/8/7Q/2P5/PP1N1PPP/R3R1K1 b - -,f8h8,Rh8,185,f8e8,311,rook,False,False,
r3k2r/1pp2pp1/p1n4p/3pP1b1/1P1P4/P1Q1B2q/4BP1N/R4R1K b kq -,g5f4,Bf4,0,g5e3,369,bishop,False,False,
2rq1rk1/pp1bppbp/3p1np1/8/2nNP2P/1BN1BP2/PPPQ2P1/2KR3R w - -,b3c4,Bxc4,106,d2e2,-32,bishop,True,False,1
1rb2rk1/3n1ppp/p7/QP4q1/2pPB3/2P1P3/5PPP/R3R1K1 w - -,b5a6,bxa6,345,e1b1,-162,pawn,True,False,
rnbqkb1r/ppp2ppp/3p1n2/4P3/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq -,d6e5,dxe5,26,f6d7,187,pawn,True,False,
rn2k1nr/ppq1bpp1/8/2pN2Bp/3p3P/1Q6/P2N1PP1/3R1RK1 b kq -,c7d7,Qd7,160,c7d8,454,queen,False,False,
rn2k1nr/ppq1bpp1/8/2pp2Bp/7P/1QN5/P2N1PP1/3R1RK1 b kq -,d5d4,d4,176,c7b6,326,pawn,False,False,
r1bqk2r/ppppnppp/2nb4/6N1/2B1P3/2P5/P4PPP/RNBQ1RK1 b kq -,c6e5,Ne5,85,h8f8,203,knight,False,False,
r1bq1r2/4k3/p2pPnpQ/1ppNp3/4P3/P7/1PP1B1P1/2K4R b - -,e7e6,Kxe6,136,f6d5,465,king,True,False,
6k1/6p1/6Pp/ppp5/3p3P/1PP2K2/2P2P2/3N4 b - -,a5a4,a4,-475,g8f8,696,pawn,False,False,
r5k1/pp2p1bp/6p1/2pqP3/2nP1BP1/1QP5/P3N1PP/R4K2 b - -,c5d4,cxd4,-292,a8f8,-129,pawn,True,False,
5k2/4qp1r/5N1p/p3Pp2/1p1r1Q1P/8/PP3P1K/6R1 b - -,e7f6,Qxf6,546,h7g7,687,queen,True,False,1
6k1/6p1/6Pp/1pp5/P2p3P/2P2K2/2P2P2/3N4 b - -,b5a4,bxa4,-471,d4d3,790,pawn,True,False,
r1bq1rk1/1p2b1pp/1np1p3/p4p2/P2P4/1Q1N2P1/1P1nPPBP/RNR3K1 w - -,b1d2,Nxd2,15,b3d1,-405,knight,True,False,
r3k2r/p3bppp/4pB2/2p5/2R5/5N2/PPP2PPP/2K4R b kq -,g7f6,gxf6,60,e7f6,178,pawn,True,False,
r1bq1rk1/4Bppp/p1ppp3/3nP3/5P2/2N2Q2/PPP3PP/2KR1B1R b - -,d8e7,Qxe7,125,d5e7,242,queen,True,False,1
5k2/5p1r/5q1p/p3Pp2/1p1Q3P/8/PP3P1K/6R1 b - -,f6e7,Qe7,553,f6c6,682,queen,False,False,
r1bqk2r/5ppp/p1np1b2/4p3/Pp2P3/2N5/1PP2PPP/RN1QKB1R w KQkq -,c3d5,Nd5,8,c3a2,-120,knight,False,False,
r1bq1rk1/pppp1ppp/2n5/2b1p3/2B1P1n1/2NP1N1P/PPP2PP1/R1BQ1RK1 b - -,g4f6,Nf6,96,g4h6,223,knight,False,False,
r3k1nr/p4ppp/bqp1p3/3pP3/1b1P4/1N3N2/PP3PPP/R1BQK2R w KQkq -,c1d2,Bd2,7,b3d2,-133,bishop,False,False,
r1bqk2r/ppp1bppp/2n2P2/3p4/2BP4/5N2/P4PPP/RNBQK2R b KQkq -,e7b4,Bb4+,-23,d5c4,167,bishop,False,True,
r3k2r/2p2pp1/p1p4p/3pPq2/1P1P1B2/P7/4BP1N/R4R1K w kq -,f4e3,Be3,65,f4g3,-53,bishop,False,False,
r1bqkb1r/ppp2ppp/2B2n2/3pp3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,b7c6,bxc6,44,c8d7,541,pawn,True,False,
r1bqkbnr/pp3ppp/2np4/4p1N1/2B1P3/2N5/PP3PPP/R1BQK2R b KQkq -,g8h6,Nh6,85,c8e6,305,knight,False,False,
8/8/1N2kp2/8/P2K2n1/8/8/8 w - -,d4c5,Kc5,9605,a4a5,3,king,False,False,
r1bq2nr/pppp1kpp/8/2b5/3pP3/8/PPP2PPP/RNBQK2R w KQ -,d1h5,Qh5+,192,e1h1,-278,queen,False,True,
6k1/p4qP1/2p4p/P2np3/2Q4N/6r1/5P1R/5K2 w - -,c4c6,Qxc6,-75,c4c5,-207,queen,True,False,2
r1bqkb1r/ppp2Npp/2n5/3np3/2B5/8/PPPP1PPP/1NBQK2R b Kkq -,e8f7,Kxf7,-427,d8h4,-273,king,True,False,
r1b1kb1r/pppp1Npp/8/4p3/2Bnn2q/6P1/PPPPQP1P/RNB1K2R b KQkq -,d4e2,Nxe2,-73,h4f6,127,knight,True,False,
r1b1k2r/ppp1qppp/2np1n2/8/2B1P3/B1Q2N2/P4PPP/R4RK1 w kq -,e4e5,e5,170,f1e1,61,pawn,False,False,
rnb1kb1r/pp3ppp/5n2/3Qp3/8/1N6/PP2PPPP/RNB1KB1R b KQkq -,f6d5,Nxd5,-32,f8b4,418,knight,True,False,
rn1qkb1r/ppp1ppp1/5nbp/3p3P/3P2P1/2N2P2/PPP1P3/R1BQKBNR b KQkq -,g6h7,Bh7,-39,g6h5,311,bishop,False,False,
r2qk1nr/1b2ppbp/p5p1/1pp5/4PP2/2NB1N2/PPP3PP/R2Q1RK1 w kq -,e4e5,e5,22,d3e2,-82,pawn,False,False,
r1b1k1nr/ppp2ppp/2n5/3qp3/1b1P4/P1N1P3/1P3PPP/R1BQKBNR b KQkq -,b4c3,Bxc3+,66,d5a5,166,bishop,True,True,1
r1bqkb1r/pp5p/2npNppn/4p3/2B1P3/2N2Q2/PP3PPP/R1B1K2R b KQkq -,c8e6,Bxe6,73,c6d4,291,bishop,True,False,2
r1b1k1nr/ppp2ppp/2n5/3qp3/3P4/P1b1P3/1P3PPP/R1BQKBNR w KQkq -,b2c3,bxc3,51,c1d2,-494,pawn,True,False,
r1b1k2r/ppp1qppp/2np1n2/4P3/2B5/B1Q2N2/P4PPP/R4RK1 b kq -,f6e4,Ne4,164,c8e6,375,knight,False,False,
r2qkb1r/pp5p/2npbppn/4p3/2B1P3/2N2Q2/PP3PPP/R1B1K2R w KQkq -,c4e6,Bxe6,86,c4d5,-369,bishop,True,False,2
3q1rk1/pp1bppbp/3p2p1/7n/2rNP1P1/2N1BP2/PPPQ4/2KR3R b - -,h5f6,Nf6,80,c4c3,218,knight,False,False,
r1bqk1nr/pppp1Npp/2n5/2b1p3/2B1Pp2/3P4/PPP2PPP/RNBQK2R b KQkq -,d8h4,Qh4,0,d8f6,325,queen,False,False,
8/8/1n6/5K2/2R5/8/5k2/8 w - -,c4d4,Rd4,844,c4c6,3,rook,False,False,
r1b1k2r/ppp1qppp/2np4/4P3/2B1n3/B4N2/P1Q2PPP/R4RK1 b kq -,e4c5,Nc5,167,c8f5,285,knight,False,False,
6k1/p1p2ppp/2p4r/8/1P1P4/2P5/4rb1P/R1B2R1K b - -,f2e3,Be3,-943,h6h4,-290,bishop,False,False,
rn1qkb1r/pp2pppp/2p2n2/3p3b/3P2P1/4PN1P/PPPN1P2/R1BQKB1R b KQkq -,h5g6,Bg6,43,f6g4,250,bishop,False,False,
r1bqk2r/pppp1ppp/2n2n2/b3P3/2B5/2P2N2/P4PPP/RNBQ1RK1 b kq -,d7d5,d5,50,c6e5,236,pawn,False,False,
r1b1k2r/pppp1Npp/2n2n2/2b1p3/2B1Pp1q/3P4/PPP2PPP/RNBQ1RK1 w kq -,b1d2,Nd2,-41,d3d4,-238,knight,False,False,
5rk1/pp2p1bp/6p1/3qP3/2nP1BP1/1Q6/P3N1PP/R5K1 b - -,f8f4,Rxf4,-371,b7b5,52,rook,True,False,4
r1b1kbnr/pp2pppp/2n5/3q4/3P4/2N2N2/P4PPP/R1BQKB1R b KQkq -,d5a5,Qa5,-19,d5d7,296,queen,False,False,
2n5/5pk1/2p4p/2Pp3P/3P1KP1/3B4/8/8 b - -,f7f6,f6,25,g7f6,456,pawn,False,False,
6k1/2p3pp/p1n1N2r/1p1p3q/P4PR1/2P2r2/1PB1R2P/4Q2K b - -,h5g4,Qxg4,0,h6e6,260,queen,True,False,1
r1bqkbnr/pp2pppp/2n5/3P4/1p1P4/5N2/P1P2PPP/RNBQKB1R b KQkq -,d8d5,Qxd5,-4,c6b8,142,queen,True,False,3
rnb1kb1r/pp3ppp/2p2n2/q2Np3/4P3/5N2/PPPB1PPP/R2QKB1R b KQkq -,a5d8,Qd8,31,a5a4,430,queen,False,False,
r1b1kbnr/pppp1ppp/4n3/8/2BPq3/2P5/PP3PPP/RNBQ1RK1 w kq -,f1e1,Re1,-50,f2f4,-154,rook,False,False,
8/4k3/5r1p/2K2Pp1/pp4P1/8/8/5R2 b - -,b4b3,b3,-667,h6h5,-461,pawn,False,False,
r1bqkb1r/pppp2pp/2n2n2/4p3/2B1p3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,d3e4,dxe4,30,c3e4,-78,pawn,True,False,
2r1rbk1/1b1q1pp1/p4n1p/1ppPp3/n3P3/2PBB1NP/P2N1PP1/1QR1R1K1 w - -,c3c4,c4,140,b1a1,0,pawn,False,False,
2r3k1/B5pp/4p3/1Q1p1p2/1p3P2/1P2P3/r5PP/6K1 w - -,a7c5,Bc5,451,h2h4,-12,bishop,False,False,
r1bqkb1r/pppp1Bpp/1nn5/4P3/3p4/2P2N2/PP3PPP/RNBQK2R b KQkq -,e8f7,Kxf7,-269,e8e7,524,king,True,False,
8/8/5r1p/6p1/4k1P1/2K5/8/7R w - -,h1e1,Re1+,-2,c3b4,-461,rook,False,True,
r2qkb1r/pp2p1pp/3pQn2/4n1N1/4P3/2N5/PP3PPP/R1B1K2R w KQ -,f2f4,f4,399,e1h1,186,pawn,False,False,
r1b1r3/pp1n2pk/2n1pb2/3p4/3P1N2/P2QBN2/1q3PPP/R4RK1 b - -,h7g8,Kg8,110,h7h8,402,king,False,False,
3rrbk1/p4ppp/6n1/2P2N1q/Q7/P1B2PRP/1P3P1K/1B6 b - -,e8e2,Re2,-7,g8h8,278,rook,False,False,
r2qr3/pp4kP/nn2ppp1/1NppB1b1/P2P4/2PQP3/1P2N3/R3K2R w KQ -,e2f4,Nf4,596,e5d6,247,knight,False,False,
r1b1k2r/pppp1ppp/8/b2Pq3/2B5/1Q6/P4PPP/R1B2RK1 w kq -,c1b2,Bb2,403,c1a3,201,bishop,False,False,
r4rk1/1ppqb1pp/pnn2p2/2N1p3/1P6/P2P1NPb/1BQ1PPBP/R4RK1 b - -,e7c5,Bxc5,58,d7c8,164,bishop,True,False,2
r2qkb1r/pp2p1pp/3pQn2/6N1/4PP2/2Nn4/PP4PP/R1B1K2R w KQ -,e1e2,Ke2,399,e1d1,202,king,False,False,
rn1qkb1r/pp1bpppp/5n2/1Bp1p3/3P4/5N2/PPP2PPP/RNBQK2R w KQkq -,b5d7,Bxd7+,11,d4e5,-127,bishop,True,True,2
r2qk2r/pppnbppp/2b1pn2/4N3/3P4/3B2N1/PPP2PPP/R1BQ1RK1 b kq -,d7e5,Nxe5,-205,a7a5,69,knight,True,False,
r1bqkb1r/1ppp1ppp/p1n5/4N3/8/2n5/PPPP1PPP/R1BQR1K1 w kq -,e5c6,Nxc6+,388,d2c3,-67,knight,True,True,
r1b1kbnr/pppp2pp/2n5/5P2/2B1p3/3P4/PPP2PqP/RNBQK1NR w KQkq -,d1h5,Qh5+,0,c4g8,-391,queen,False,True,
4r1k1/5ppp/3p2q1/1N1P1n2/4b3/2P1PB2/r5PP/4QRRK b - -,e4d3,Bd3,-300,a2a1,-183,bishop,False,False,
2r2rk1/2q1bpp1/p2p3p/1p1np3/4P2P/2P2N2/PP2QPP1/3RK2R w K -,d1d5,Rxd5,0,e4d5,-154,rook,True,False,4
r2qr3/pp4kP/nn1Nppp1/2ppB1b1/P2P4/2PQP3/1P2N3/R3K2R b KQ -,f6e5,fxe5,218,c5c4,426,pawn,True,False,
r2q1rk1/pp2ppbp/2n3pn/3pP3/3P4/2N2b1P/PP2BPP1/R1BQ1RK1 w - -,e2f3,Bxf3,-22,g2f3,-179,bishop,True,False,1
5N1k/5b2/7p/1p3p2/p1pPpP2/P1P1P2P/1P4K1/8 b - -,h8g7,Kg7,78,h8g8,178,king,False,False,
r2q3r/pp4kP/nn1Nppp1/2ppB1b1/P2P4/2PQP3/1P2N3/R3K2R w KQ -,e2f4,Nf4,502,e5f4,49,knight,False,False,
r1bqk2r/1pppbppp/p7/4R3/n7/2N5/PPPP1PPP/R1BQ2K1 w kq -,c3d5,Nd5,382,c3a4,-19,knight,False,False,
r1b1k1nr/ppp1qppp/2np4/b3P3/2B5/1QP2N2/P4PPP/RNB2RK1 b kq -,c6e5,Nxe5,42,d6e5,178,knight,True,False,
3qr1k1/pp1bppbp/3p1npB/8/2r1P1P1/2N2P2/PPPQN3/2KR3R b - -,g7h8,Bh8,15,d8a5,368,bishop,False,False,
r1k4r/2p2p2/4q1p1/pB1pP1Bp/3P4/P5R1/5P1N/2R4K w - -,g3f3,Rf3,380,b5f1,261,rook,False,False,
6qk/2p2p1p/8/6n1/7P/1P3P2/r1pQP1RK/8 b - -,g5f3,Nxf3+,-824,h7h6,-5,knight,True,True,
r1b1kb1r/1p3ppp/p1n3q1/8/3B4/5B2/PPPQ1P1P/2KR3R w - -,d4f6,Bf6,743,d4g7,430,bishop,False,False,
r1b1k1nr/pppp1ppp/2n2q2/b5B1/2B1P3/1Qp2N2/P4PPP/RN3RK1 b kq -,f6g6,Qg6,23,f6d6,182,queen,False,False,
6qk/2p2p1p/8/8/7P/1P3P2/r1pQ2RK/8 b - -,g8g2,Qxg2+,-824,g8f8,0,queen,True,True,6
r1b1k1nr/ppNp1ppp/2n2q2/2b5/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,e8d8,Kd8,-189,e8f8,252,king,False,False,
r4rk1/1pp3pp/pnn2p2/2b1p3/1P6/PQ1P1NPq/1B2PP1P/R4RK1 b - -,g8h8,Kh8,16,f8f7,209,king,False,False,
r1bqk2r/ppppbppp/2n2B2/8/4P3/8/PPP2PPP/RN1QKBNR b KQkq -,e7f6,Bxf6,-88,g7f6,60,bishop,True,False,1
r1b1k1nr/ppp1qppp/2n5/b3p3/2B5/BQP2N2/P4PPP/RN3RK1 b kq -,e7f6,Qf6,206,e7d7,372,queen,False,False,
r4r1k/1pp3pp/pnn2p2/2b1p3/1P6/PQ1P1NPq/1B2PP1P/R4RK1 w - -,b4c5,bxc5,17,e2e4,-358,pawn,True,False,
4n3/8/7K/5b2/5Pk1/3N2b1/5P2/8 w - -,d3e5,Ne5+,0,f2g3,-294,knight,False,True,
r1b1k1nr/pppp1ppp/2n3q1/b5B1/2B1P3/1Qp2N2/P4PPP/RN3RK1 w kq -,b1c3,Nxc3,21,c4d3,-81,knight,True,False,
r1b2rk1/ppq2pp1/4pn2/2p3NQ/1p1P4/8/PP1N1PPP/R4RK1 w - -,h5h4,Qh4,131,h5f3,-65,queen,False,False,
r2qk2r/ppp1bppp/2b1pn2/4P3/8/3B2N1/PPP2PPP/R1BQ1RK1 b kq -,d8d5,Qd5,-177,f6d7,56,queen,False,False,
r1b1qrk1/1p3ppp/p1p5/3Nb3/5N2/P7/1P4PQ/K1R1R3 w - -,e1e5,Rxe5,-53,d5c7,-281,rook,True,False,4
r1b2rk1/ppqn1pp1/4pn2/2p1P1NQ/1p1P4/8/PP1N1PPP/R4RK1 w - -,e5f6,exf6,146,h5h4,22,pawn,True,False,
r3k2r/pp2qppp/2npbn2/8/2P1N3/4P1P1/PP1Q1PBP/R3K1NR b KQkq -,f6e4,Nxe4,6,e8a8,144,knight,True,False,
rnbqkb1r/pp1p1ppp/2p2n2/8/2Pp4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,d1d4,Qxd4,15,c3b1,-142,queen,True,False,3
r1b1k2r/ppp1qpbp/3p1np1/3Pp3/2PNP3/2N1B2P/PP3PP1/R2QKB1R b KQkq -,e5d4,exd4,39,f6e4,349,pawn,True,False,
4n3/8/7K/4Nb2/5k2/6b1/5P2/8 w - -,e5g6,Ng6+,0,f2g3,-253,knight,False,True,
r1bqkb1r/pp2pp1p/2np2p1/1B6/3NP1n1/2N1B3/PPP2PPP/R2QK2R w KQkq -,d4c6,Nxc6,397,e3g5,84,knight,True,False,
r1b2rk1/ppqn1pp1/4p3/2pnP1N1/1p1P4/8/PP1N1PPP/R2Q1RK1 w - -,d1h5,Qh5,113,f2f4,-94,queen,False,False,
r1bqkb1r/pp2pp1p/2Np2p1/1B6/4P1n1/2N1B3/PPP2PPP/R2QK2R b KQkq -,b7c6,bxc6,353,d8d7,665,pawn,True,False,
r1bqkb1r/p3pp1p/2pp2p1/1B6/4P1n1/2N1B3/PPP2PPP/R2QK2R w KQkq -,b5c6,Bxc6+,377,d1d4,227,bishop,True,True,1
r1bqkb1r/p3pp1p/2Bp2p1/8/4P1n1/2N1B3/PPP2PPP/R2QK2R b KQkq -,c8d7,Bd7,321,d8d7,638,bishop,False,False,
r1bqkb1r/pppp1Bpp/5n2/4p3/3nP3/5N2/PPP2PPP/RNBQK2R b KQkq -,e8f7,Kxf7,85,e8e7,189,king,True,False,
r1bq1b1r/pppp1kpp/5n2/4p3/3nP3/5N2/PPP2PPP/RNBQK2R w KQ -,f3e5,Nxe5+,87,f3d4,-309,knight,True,True,
2Q2Rkr/p2np2p/2p3p1/8/6q1/8/PPP4P/R1B1K3 b Q -,g8g7,Kg7,0,d7f8,962,king,False,False,
B2qkb1r/p2bpp1p/3p2p1/8/4P3/2N1n3/PPP2PPP/R2QK2R w KQk -,f2e3,fxe3,384,d1d2,0,pawn,True,False,
r2q1rk1/pp2pBbp/6p1/n1p5/3PP1b1/2P1BP2/P3N1PP/R2Q1RK1 b - -,f8f7,Rxf7,28,g8f7,175,rook,True,False,1
r1bq1bkr/pppp2pp/5n2/4N3/3nP3/8/PPP2PPP/RNBQK2R w KQ -,d1d4,Qxd4,98,e1h1,-215,queen,True,False,3
2r2r1k/1pN1QBbp/p4pp1/qb6/8/8/PP3PPP/2RR2K1 b - -,b5e2,Be2,68,f6f5,248,bishop,False,False,
r1b1qrk1/1p3ppp/p1p5/3NR3/5N2/P7/1P4PQ/K1R5 b - -,e8e5,Qxe5,-62,c6d5,464,queen,True,False,3
r1bqk1nr/ppp1bppp/2Np4/8/2B1P3/8/PPP2PPP/RNBQK2R b KQkq -,b7c6,bxc6,44,d8d7,487,pawn,True,False,
r1bqkbnr/pppp1p1p/2n5/6p1/4Pp1P/2N2N2/PPPP2P1/R1BQKB1R b KQkq -,g5g4,g4,-83,h7h6,53,pawn,False,False,
